Day fraction since midnight on 8/7/2024,raw (L/min),filter (volts),sludge (volts),turbidityInfluent (NTU),turbidityEffluent (NTU),turbidityClarified (NTU),turbidityTubeSettler (),coagulantDoseController (rpm),masterflexPumpController (),coagulantDose(mg/L) (),coagDoseToFlow(mL/s) (),setGlobalVariables (),flocculatedTurbidity (NTU),flocSaturation (),tubeSettlerController (),shiftedInfluent (NTU),DOM (mg/L)
0.37882649,30.31093979,0.38830164,0.4031325,27.18333817,2.36909437,0.0,0.62705946,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37888436,30.35303497,0.38830951,0.40526932,27.18333817,2.43633795,9.99e-06,0.82771838,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37894224,30.31216621,0.38839728,0.40897286,27.18333999,2.43633795,9.99e-06,0.82771838,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3790001,30.27672958,0.38830039,0.40832004,26.58510208,2.39352393,9.99e-06,1.0822556,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37905798,30.32069016,0.38833058,0.40507507,26.65815353,2.39352393,0.0,1.10226464,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37911586,30.25045013,0.38831142,0.40164715,26.66484833,2.31648445,0.0,1.06539059,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37917372,30.30407524,0.38833538,0.40249088,26.72801971,2.32999492,0.0,1.03367591,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37923158,30.32675552,0.38827264,0.40930161,26.59544754,2.34632587,0.0,0.99097019,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37928945,30.35865211,0.38835987,0.40731642,26.74274826,2.4031899,0.0,0.92656553,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37934732,30.27493095,0.38857669,0.40249115,26.82709503,2.4031899,0.0,0.92188513,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.3794052,30.29195786,0.38745391,0.40505531,26.82709503,2.40318999,0.0,0.89606869,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37946307,30.35210228,0.38817698,0.40671492,26.51987839,2.38591743,0.0,0.8269074,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
0.37952094,30.33540344,0.38826951,0.40789148,26.50971603,2.38591743,0.0,0.79329884,4.0,0.63157895,0.0,0.014,1.0,0.0,0.0,15.78947368,0.0,0.0
